Code,Subject Code,Course Title,Credits,Semester Typically Offered,Foundations Designation,Description,Grading Basis,Course Type,Course Level,College,Department
COID495,COID,Digital Innovation and Design Capstone (FF),2,fall and spring and summer,FF - Finishing Foundations,Complete and present an integrative capstone project and a culminating self-evaluation.,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID266,COID,IT Support I: IT Support and Computer Networking,3,fall and spring and summer,NULL,Learn the fundamentals of day-to-day IT support%COMMA% including identifying problems%COMMA% troubleshooting%COMMA% and debugging. Learn networking basics%COMMA% including protocols%COMMA% cloud computing%COMMA% and practical applications of network troubleshooting. ,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID339,COID,Career Hacking,3,fall and spring only,NULL,Students will explore and practice proven methods for hacking into fulfilling creative careers through non-traditional networking and interviewing methods. Explore purpose and passions using reflective and introspective techniques and learn how to turn them into fulfilling work. Take control and turn the traditional job search approach on its head by taking a proactive role in designing a tailored future. Use innovative techniques and tools to hone resumes%COMMA% create digital portfolios%COMMA% and get interviews in competitive fields.,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID350,COID,UX Design Foundations,3,fall or spring or both,NULL,Learn to develop products and services by applying a user-centered approach. Learn to reduce risk and to accelerate learning using prototyping. Gain an understanding of design thinking mindsets and UX design tools that are foundational to user experience. Gain insights into the cognitive processes which drive how people interact with technology and the importance of usability over aesthetics%COMMA% in product and service design.,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID365,COID,Big Ideas: Innovation,4,fall and spring and summer,NULL,Ideas alone are not enough; driving transformative change requires the ability to test%COMMA% refine%COMMA% and implement bold new approaches. Develop the skills to tackle complex challenges with creativity%COMMA% using innovative methodologies and tools. Design impactful solutions that create meaningful change within organizations and communities. Apply practical strategies to test and evolve ideas throughout the innovation process%COMMA% from addressing sustainability challenges in local communities to redesigning organizational processes for greater inclusivity and effectiveness.,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID583,COID,Federal Aviation Administration (FAA) Drone Pilot Licensing Material,1,fall or summer or both,NULL,Prepares students to master the test required to be an FAA-certified drone pilot and receive a Part 107 license. Topics may include regulations%COMMA% airspace%COMMA% weather%COMMA% UAS loading%COMMA% emergency procedures%COMMA% crew resource management%COMMA% radio communication%COMMA% determining the performance of UAS%COMMA% pilot performance%COMMA% decision-making and judgment%COMMA% airport operations%COMMA% maintenance%COMMA% and preflight inspection procedures (subject to change in accordance with current FAA requirements). Students register for the exam at a qualified testing center and receive their license upon passing the exam. ,Pass/Fail - PF,Lecture,Graduate,College of Innovation and Design,College of Innovation and Design
COID264,COID,Project Management I: Start%COMMA% Plan%COMMA% Run,3,fall and spring and summer,NULL,Learn foundational project management terminology and gain a deeper understanding of the role and responsibilities of a project manager. Create effective project documentation and artifacts throughout the various phases of a project. Develop an immersive understanding of the practices and processes used by project managers to lead%COMMA% plan%COMMA% and implement critical projects to help their organizations succeed. ,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID364,COID,Big Ideas: Futures Thinking,4,fall and spring and summer,NULL,"Gain the skills to drive meaningful change and shape impactful futures. Learn to identify signals of change%COMMA% conduct environmental and horizon scans%COMMA% and translate findings into actionable forecasts and scenarios. Analyze key risks and opportunities to develop strategic responses for navigating uncertainty. Apply foresight and planning tools to address evolving challenges%COMMA% such as adapting to shifts in public health needs or envisioning how neighborhoods can respond to climate change. ",Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID352,COID,Designing for Impact,3,fall or spring or both,NULL,Learn how to create products and services that people love by gaining insight into how to inject positive emotional experiences into UX designs%COMMA% how to build with accessibility standards and "Universal Design" principles%COMMA% and the various facets of social design.,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID265,COID,Project Management II: Apply%COMMA% Execute%COMMA% Deliver,4,fall and spring and summer,NULL,Learn the foundations of Agile project management%COMMA% with a focus on implementing Scrum events%COMMA% building Scrum artifacts%COMMA% and understanding Scrum roles. Practice strategic communication%COMMA% problem-solving%COMMA% and stakeholder management through applied scenarios. Produce capstone deliverables that may also serve as learner portfolio assets.,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID498,COID,Seminar,1-4,fall or spring or summer or all,NULL,A seminar is a small class that examines a particular topic. Seminars are typically discussion oriented and are most commonly offered at the junior%COMMA% senior%COMMA% or graduate level.,Letter Grade - Regular,Seminar,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID269,COID,Data Analysis II: Visualize%COMMA% Share%COMMA% Act,4,fall and spring and summer,NULL,Learn the foundational skills necessary to present the findings of their analyses%COMMA% including how to conduct a complete analysis%COMMA% share insights using tools such as spreadsheets%COMMA% SQL%COMMA% R programming%COMMA% and data visualization. Create and publish a data analysis case study. Produce capstone deliverables that may also serve as professional portfolio assets.,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID585,COID,Drone Geographic Information Systems (GIS) and Spatial Analysis,3,fall or spring or both,NULL,Visualize and analyze Unoccupied Aerial Systems (UAS)-derived spatial data with advanced GIS tools. Working with UAS-derived spectral and structural products%COMMA% integration with other datasets%COMMA% spatial analysis%COMMA% and cartographic principles. Students plan and execute a project from start to finish comprehensively and independently.,Letter Grade - Regular,Lecture,Graduate,College of Innovation and Design,College of Innovation and Design
COID483,COID,Federal Aviation Administration (FAA) Drone Pilot Licensing Material,1,fall or spring or both,NULL,Prepares students to master the test required to be an FAA-certified drone pilot and receive their Part 107 license. Content includes regulations%COMMA% airspace%COMMA% weather%COMMA% UAS loading%COMMA% emergency procedures%COMMA% crew resource management%COMMA% radio communication%COMMA% determining the performance of UAS%COMMA% pilot performance%COMMA% decision-making and judgment%COMMA% airport operations%COMMA% maintenance%COMMA% and preflight inspection procedures (subject to change in accordance with current FAA requirements). Students will register for the exam at a qualified testing center and will receive their license upon passing the exam.,Pass/Fail - PF,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID268,COID,Data Analysis I: Prepare%COMMA% Process%COMMA% Analyze,3,fall and spring and summer,NULL,Learn the foundational skills necessary to source%COMMA% prepare%COMMA% process%COMMA% and analyze data%COMMA% including how to clean and organize data for analysis and complete analysis and calculations using spreadsheets and SQL. Develop an immersive understanding of the practices and processes used by data analysts to help organizations gain insights from their data. ,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID351,COID,Intro to Human-Computer Interaction,3,fall or spring or both,NULL,Acquire an understanding of the design process in interaction design and the ways human senses play a role in the experience. Learn how to choose user interface (UI) design patterns and organize content effectively%COMMA% ways to enhance the user experience of a user interface%COMMA% and the application of these principles to mobile user experience design.,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID596,COID,Independent Study,1-6,fall or spring or summer or all,NULL,Advanced study of a specialized topic; design and completion of a project may be included in the study. The student works with a high degree of Independence to meet well-defined goals under the supervision of a member of the graduate faculty. Requires submission of a completed Application for Graduate Independent Study prior to the deadline specified in the academic calendar. An independent study cannot be substituted for a course regularly offered at Boise State%COMMA% nor can independent study credits be used to improve a grade in a course the student has already taken. Either graded or pass/fail.,Letter Grade - Regular,Independent Study,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID582,COID,Introduction to Drone Flying and Workflows,3,fall or spring or both,NULL,Introduction to Unoccupied Aerial Systems (UAS) technology. Practice manipulating the equipment with controllers to increase proficiency in flight skills. Gain exposure to how drones are used across various disciplines and industries. Introduces the primary components of the drone-based workflow from start to finish. Overview of defining goals%COMMA% selecting equipment%COMMA% safety and regulations%COMMA% mission planning%COMMA% fieldwork%COMMA% data management%COMMA% data products and analysis%COMMA% communication%COMMA% visualization%COMMA% and innovation. Prepares students to craft a vision for how UAS could be used in graduate research.,Letter Grade - Regular,Lecture,Graduate,College of Innovation and Design,College of Innovation and Design
COID516,COID,Exploration of Pedagogy,1,fall or spring or both,NULL,Provides graduate students an opportunity to learn more about pedagogy%COMMA% best teaching practices%COMMA% how technology is incorporated in the classroom%COMMA% and other strategies for engaging and working with students with diverse backgrounds through workshops and other programs offered by the Center for Teaching and Learning. With instructor's approval%COMMA% students may pursue other pedagogical areas of interest. May be repeated for credit.,Letter Grade - Regular,Lecture,Graduate,College of Innovation and Design,College of Innovation and Design
COID330,COID,Creative Concepting,3,fall and spring only,NULL,Using human-centered problem-solving methods%COMMA% learn to hack your brain to achieve new levels of creativity. Use professionally proven creative processes and tools through immersive projects that relate to real-world challenges. Self-select challenge topics%COMMA% conduct empathy interviews%COMMA% design and prototype creative messaging%COMMA% innovative new products%COMMA% and viable business ideas. Gain confidence in sharing emerging ideas with others. Practice giving and receiving actionable feedback to help move beyond good in pursuit of excellence and to deliver value to the end user.,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID305,COID,Introduction to Digital Innovation and Design,2,fall and spring and summer,NULL,Explore academic and career goal-setting strategies%COMMA% innovative thinking frameworks%COMMA% the connection of theory to practice%COMMA% academic culture%COMMA% academic integrity%COMMA% the vital nature of an academic support community%COMMA% and the qualities of a reflective and adaptive learner.,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID400,COID,Harvard Business School Online at Boise State I and II,9,fall or spring or summer or all,NULL,Includes both participation in Harvard Business School's online Credential of Readiness course (HBS CORe) and a regular%COMMA% instructor-led class to accompany each week's online lesson. Develops familiarity and foundational skills in areas ranging from data analytics%COMMA% economics%COMMA% and accounting. Consists of three concurrent tracks titled Business Analytics%COMMA% Financial Accounting%COMMA% and Economics for Managers with online lessons developed by Harvard Business School faculty using real life case examples. Successful completion will receive the Credential of Readiness from HBS in addition to Boise State course credit. COID 400 cannot be taken for credit after COID 401 or 402. Recommended completion of foundations of communication (FC) requirement and upper-division standing.,Pass/Fail/Audit - PFA,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID100,COID,Intro to Cloud Computing,1,fall or spring or both,NULL,Detailed overview of cloud concepts including but not limited to: core services%COMMA% security%COMMA% architecture%COMMA% pricing%COMMA% and support. Learners are prepared to pursue optional and relevant industry certifications. Does not require any prior background or coursework in programming or computing.,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID325,COID,Applications of AI,3,fall and spring and summer,NULL,This course introduces students to the application of AI in the workplace. Using a projects format%COMMA% students will utilize a variety of emerging AI tools%COMMA% inclusive of text and image generators%COMMA% to create content and products%COMMA% develop productivity skills%COMMA% and explore the limitations and opportunities of these emerging technologies. ,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID331,COID,Growth Hacking,3,fall and spring only,NULL,Learn innovative techniques to reach and engage customers at scale through a variety of digital channels to spur growth for developed concepts. Create prototype companies at the beginning of the course and learn new techniques to build upon concepts. Skills learned include but are not limited to: web design%COMMA% email marketing%COMMA% social media%COMMA% and digital advertising%COMMA% while also earning digital platform certifications.,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID401,COID,Harvard Business School Online at Boise State I,5,fall only,NULL,Includes both participation in Harvard Business School's online Credential of Readiness course (HBS CORe) and a regular%COMMA% instructor-led class to accompany each week's online lesson. Develops familiarity and foundational skills in basic and intermediate data analytics%COMMA% economics%COMMA% and accounting. Consists of three concurrent tracks titled Business Analytics%COMMA% Financial Accounting%COMMA% and Economics for Managers with online lessons developed by Harvard Business School faculty using real life case examples. COID 401 cannot be taken for credit after COID 400. Recommended completion of a foundations of communications (FC) requirement and upper-division standing.,Pass/Fail/Audit - PFA,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID334,COID,Agile Design,3,fall and spring only,NULL,Learn the basics of graphic design taught for non-designers. Using elements and principles of design%COMMA% learn how to think and create like a designer. Apply human-centered thinking to develop dynamic%COMMA% engaging%COMMA% and effective visual communication pieces while gaining hands-on experience with lightweight%COMMA% approachable%COMMA% and modern design tools. Come to listen%COMMA% understand%COMMA% and interpret feedback and use it as a competitive advantage. ,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID493U,COID,Work U,1-3,fall and spring and summer,NULL,Designed to provide students with professional experiences%COMMA% regardless of their major. Students will develop their professional network alongside a mentor at a Treasure Valley employer. Time spent on site with employers and in a weekly class session. The class sessions are designed to unpack what the students are learning on the job%COMMA% attend interactive workshops%COMMA% engage with dynamic guest leaders from partner employers%COMMA% and learn skills that translate directly to a professional setting. No more than 12 credits of Work U and/or internship may be applied towards graduation requirements.,Letter Grade - Regular,Practicum,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID501,COID,Harvard Business School Online at Boise State I,5,fall only,NULL,Course that includes participation in Harvard Business School's online Credential of Readiness course (HBS CORe). Includes a regular%COMMA% instructor-led class to accompany each week's online lesson. Develops familiarity and foundational skills in areas ranging from basic and intermediate data analytics%COMMA% economics%COMMA% and accounting. Consists of three concurrent tracks titled Business Analytics%COMMA% Financial Accounting%COMMA% and Economics for Managers with online lessons developed by Harvard Business School faculty using real life case examples (Pass/ Fail.) COID 501 cannot be taken for credit after COID 500. Recommended Graduate Standing.,Pass/Fail/Audit - PFA,Lecture,Graduate,College of Innovation and Design,College of Innovation and Design
COID502,COID,Harvard Business School Online at Boise State II,4,spring only,NULL,Course that includes participation in Harvard Business School's online Credential of Readiness course (HBS CORe). Includes a regular%COMMA% instructor-led class to accompany each week's online lesson. Develops familiarity and foundational skills in areas ranging from advanced applications of data analytics%COMMA% economics%COMMA% and accounting. Consists of three concurrent tracks titled Business Analytics%COMMA% Financial Accounting%COMMA% and Economics for Managers with online lessons developed by Harvard Business School faculty using real life case examples. Successful completion of COID 501 and COID 502 will receive the Credential of Readiness from HBS in addition to Boise State course credit. Recommended to have taken COID 501.,Pass/Fail/Audit - PFA,Lecture,Graduate,College of Innovation and Design,College of Innovation and Design
COID353,COID,UX Design Studio,3,fall or spring or both,NULL,In this project-based capstone%COMMA% learners will apply UX Design principles in an applied UX Design project.,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID500,COID,Harvard Business School Online at Boise State I and II,9,fall or spring or summer or all,NULL,Course that includes participation in Harvard Business School's online Credential of Readiness course (HBS CORe). Includes a regular%COMMA% instructor-led class to accompany each week's online lesson. Develops familiarity and foundational skills in areas ranging from data analytics%COMMA% economics%COMMA% and accounting. Consists of three concurrent tracks titled Business Analytics%COMMA% Financial Accounting%COMMA% and Economics for Managers with online lessons developed by Harvard Business School faculty using real life case examples. Successful completion will receive a Credential of Readiness from HBS in addition to Boise State course credit. COID 500 cannot be taken for credit after COID 501 or COID 502. Recommended to have Graduate Standing.,Pass/Fail/Audit - PFA,Lecture,Graduate,College of Innovation and Design,College of Innovation and Design
COID511,COID,Designing College Courses,1,fall or spring or both,NULL,Applied exploration of the process of designing a college-level course%COMMA% including writing course learning outcomes%COMMA% assessing student learning%COMMA% designing learning activities%COMMA% scaffolding student learning%COMMA% and planning a class session.,Letter Grade - Regular,Lecture,Graduate,College of Innovation and Design,College of Innovation and Design
COID402,COID,Harvard Business School Online at Boise State II,4,spring only,NULL,Includes both participation in Harvard Business School's online Credential of Readiness course (HBS CORe) and a regular%COMMA% instructor-led class to accompany each week's online lesson. Develops familiarity and foundational skills in advanced applications of data analytics%COMMA% economics%COMMA% and accounting. Consists of three concurrent tracks titled Business Analytics%COMMA% Financial Accounting%COMMA% and Economics for Managers with online lessons developed by Harvard Business School faculty using real life case examples. Successful completion will receive the Credential of Readiness from HBS in addition to Boise State course credit. COID 402 cannot be taken for credit after COID 400. Recommended completion of COID 401 and upper-division standing.,Pass/Fail/Audit - PFA,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID267,COID,IT Support II: IT System Administration%COMMA% Infrastructure%COMMA% and Security,4,fall and spring and summer,NULL,Learn the basics of operating systems%COMMA% system administration%COMMA% and IT infrastructure services necessary to manage a fleet of devices and software on premises and in the cloud. Learn IT security concepts%COMMA% tools%COMMA% and best practices to address threats and attacks. Produce capstone deliverables that may also serve as professional portfolio assets.,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID336,COID,No-Code Development,3,fall and spring only,NULL,Learn to build apps and automation without code using approachable%COMMA% modern%COMMA% industry-standard "no-code" development tools. Learn how to ideate%COMMA% prototype%COMMA% create%COMMA% and test apps and automation for impact. Understand the importance of user experience and how to design apps and automation that improve human interaction. ,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID482,COID,Introduction to Drone Flying and Workflows,3,fall or spring or both,NULL,Introduction to Unoccupied Aerial Systems (UAS) technology. Practice manipulating the equipment with controllers to increase proficiency in flight skills. Gain exposure to how drones are used across various disciplines and industries. Introduces the primary components of the drone-based workflow from start to finish. Overview of defining goals%COMMA% selecting equipment%COMMA% safety and regulations%COMMA% mission planning%COMMA% fieldwork%COMMA% data management%COMMA% data products and analysis%COMMA% communication%COMMA% visualization%COMMA% and innovation.,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID493,COID,Internship,1-12,fall or spring or summer or all,NULL,Internship credits are earned in supervised fieldwork specifically related to a student's major. To enroll in courses numbered 293 or 493%COMMA% a student must have attained a cumulative grade-point average of 2.00 or higher. No more than 12 credits of internship and/or Work U may be applied towards graduation requirements.,Letter Grade - Regular,Internship,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID333,COID,Emerging Technology,3,fall and spring only,NULL,Gain hands-on experience working with emerging technologies including%COMMA% but not limited to: virtual reality%COMMA% augmented reality%COMMA% 3D printing%COMMA% internet of things%COMMA% artificial intelligence%COMMA% machine learning%COMMA% and voice assistance. Use these tools to develop creative solutions and learn to apply them to a variety of projects and settings.,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COID332,COID,Analytics for Design,3,fall and spring only,NULL,Develop an understanding of how to gather user needs%COMMA% create journey maps%COMMA% conduct user testing%COMMA% turn data into insights%COMMA% and produce user experiences that deliver results. By using industry-standard enterprise research and analytics tools%COMMA% students will begin to understand how to collect data%COMMA% visualize it%COMMA% and most importantly%COMMA% how to understand and apply it. The developed experiences will showcase how a user can seamlessly travel across physical and digital touchpoints to achieve their desired goal. Produced works may also serve as learner portfolio assets.,Letter Grade - Regular,Lecture,Undergraduate,College of Innovation and Design,College of Innovation and Design
COMM512,COMM,Culture and Communication,3,fall or spring or both,NULL,Examines current issues and theoretical perspectives in the study of communication within particular cultural contexts. Topics include the history of the terms "culture" and "communication%COMMA%" and the evolution of theoretical perspectives on both terms.,Letter Grade - Regular,Lecture,Graduate,College of Arts and Sciences,Communication
COMM214,COMM,Intercollegiate Debate,1,fall or spring or both,NULL,Preparation for and participation in intercollegiate tournament debate. Course may be repeated for credit. Recommended concurrent enrollment in COMM 114 or COMM 314.,Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,Communication
COMM511,COMM,Critical Theory,3,fall or spring or both,NULL,Provides an overview of critical perspectives of media%COMMA% society%COMMA% and organizations by exploring the work of the Frankfurt School%COMMA% postmodern perspectives%COMMA% as well as feminist and other critical theories in the field of communication.,Letter Grade - Regular,Lecture,Graduate,College of Arts and Sciences,Communication
COMM493,COMM,Internship,1-12,fall and spring and summer,NULL,Supervised fieldwork. For more information on internships%COMMA% see University-Wide Courses in Chapter 11. Recommended completion of COMM 304 or MEDIA 201 and a minimum cumulative GPA of 2.75,Letter Grade - Regular,Internship,Undergraduate,College of Arts and Sciences,Communication
COMM507,COMM,Organizational Communication,3,fall or spring or both,NULL,Explores contemporary theory and research associated with the practice of organizational communication. Emphasizes communication as constitutive of organization and communication as essential in creating%COMMA% maintaining%COMMA% and changing organizational structures%COMMA% cultures%COMMA% identities%COMMA% and power relations.,Letter Grade - Regular,Lecture,Graduate,College of Arts and Sciences,Communication
COMM493U,COMM,Work U,1-3,fall and spring and summer,NULL,Designed to provide students with professional experiences%COMMA% regardless of their major. Students will develop their professional network alongside a mentor at a Treasure Valley employer. Time spent on site with employers and in a weekly class session. The class sessions are designed to unpack what the students are learning on the job%COMMA% attend interactive workshops%COMMA% engage with dynamic guest leaders from partner employers%COMMA% and learn skills that translate directly to a professional setting. No more than 12 credits of Work U and/or internship may be applied towards graduation requirements.,Letter Grade - Regular,Practicum,Undergraduate,College of Arts and Sciences,Communication
COMM248,COMM,Communication Perspectives,3,fall and spring only,NULL,Introduction to the study of communication. Examination of central concepts and theories in the field of communication.,Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,Communication
COMM371,COMM,Communication%COMMA% Gender%COMMA% and Difference,3,fall or spring or both,NULL,Explores gender and difference as a communicative performance and attends to the relational%COMMA% organizational%COMMA% cultural%COMMA% and/or critical study of communication%COMMA% gender%COMMA% and difference.,Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,Communication
COMM451,COMM,Communication Practicum,1-4,fall or spring or both,NULL,Directed study emphasizing the practical application of skills and theory relevant to human communication. An opportunity to focus on areas of special interest to the student. May be repeated for a total of four credits.,Letter Grade - Regular,Practicum,Undergraduate,College of Arts and Sciences,Communication
COMM591,COMM,Project,1-12,fall or spring or summer or all,NULL,Execution of a substantial exercise that demonstrates the ability to successfully and independently carry out a professional activity similar to what is encountered in the professional workplace; archival of the results of the project is required according to standards approved by the Graduate College. May be repeated for credit.,Pass/Fail - PF,Project,Graduate,College of Arts and Sciences,Communication
COMM311,COMM,Digital Communication Lab,3,fall and spring only,NULL,Builds media literacy skills by gaining an inside perspective on information production and distribution in a workshop environment. Examines the information needs of the community to create and analyze content that can serve and engage diverse audiences. Offers an opportunity to experience hands-on information gathering and media creation with a focus on the study of mediated representations of public affairs and social issues. Student work can be published in a variety of campus and community outlets. ,Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,Communication
COMM508,COMM,Media Theory and Criticism,3,fall or spring or both,NULL,Examines a broad range of theoretical perspectives on media institutions%COMMA% practices%COMMA% and effects. Emphasis is given to the implications of media theory and research for citizens%COMMA% members of civic or professional organizations who work with media%COMMA% as well as media practitioners.,Letter Grade - Regular,Lecture,Graduate,College of Arts and Sciences,Communication
COMM231,COMM,Public Speaking,3,fall or spring or both,NULL,Analysis of methods and techniques of message composition. Practice in the presentation of public speeches.,Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,Communication
COMM338,COMM,Seeing Ourselves: Media Representation and Identity Formation,3,fall or spring or both,NULL,Analyzes the relationship between media representation and the formation of individual and collective identities. Using insights from communication theory and cultural studies%COMMA% this exploration considers how media forms such as film%COMMA% television%COMMA% advertising%COMMA% social media%COMMA% and news shape perceptions of self and others. By critically examining representations of identity%COMMA% it investigates how media communicates%COMMA% constructs%COMMA% reinforces%COMMA% or challenges social norms and power dynamics%COMMA% fostering media literacy and a deeper understanding of media's role in identity formation.,Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,Communication
COMM211,COMM,Media Literacy in the Digital Age,3,fall or spring or both,NULL,"Introduction to the analysis of media messages and products as well as the social and cultural contexts where they are produced and consumed. Examines the news and information landscape%COMMA% the influence of media representations%COMMA% and the relationship between media system structures and democratic society.",Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,Communication
COMM351,COMM,Intercultural Communication,3,fall or spring or both,NULL,An analysis of societal and cultural influences on interpersonal communication. A critical examination of communication within and among subcultures as well as across cultural boundaries.,Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,Communication
COMM411,COMM,The Information Society,3,spring only,NULL,Explores the transformative impact of communication technologies on daily life%COMMA% work%COMMA% learning%COMMA% and social interaction%COMMA% as well as on understanding the world. Central themes include shifts in communication patterns%COMMA% cultural practices%COMMA% and power dynamics%COMMA% with a focus on the influence of the internet and social media. Additionally%COMMA% addresses challenges and opportunities presented by emerging technologies such as artificial intelligence.,Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,Communication
COMM321,COMM,Rhetorical Theories,3,fall or spring or both,NULL,Examination of theories concerning the complexity of interaction among ideas%COMMA% messages%COMMA% and people%COMMA% including analysis of various message strategies. ,Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,Communication
COMM501,COMM,Research Methods,3,fall only,NULL,Provides an overview of foundational methodological approaches to research in the field of communication and media studies. Introduces students to issues of epistemology%COMMA% scholarly inquiry%COMMA% and criticism as aligned with common approaches to the study of communication.,Letter Grade - Regular,Lecture,Graduate,College of Arts and Sciences,Communication
COMM435,COMM,Collaboration and Facilitation,3,fall or spring or both,NULL,Examines the role of communication in the theory and practice of collaboration and the role of facilitation in supporting change practices in workplaces and public arenas.,Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,Communication
COMM331,COMM,Message Analysis and Criticism,3,fall or spring or both,NULL,An evaluation of methods of analyzing and criticizing messages and their application to making critical appraisals of public communication.,Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,Communication
COMM332,COMM,Contemporary Public Communication,3,fall or spring or both,NULL,The nature%COMMA% function%COMMA% and influence of public communication in contemporary society. An examination of major events and issues in an attempt to identify particular characteristics of public dialogue which reflect%COMMA% reinforce%COMMA% and alter public opinion.,Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,Communication
COMM298,COMM,Communication Inquiry,3,fall and spring only,NULL,Addresses how we ask questions%COMMA% seek answers%COMMA% and create knowledge through different approaches to research. Students gain practical research experience in the study of communication concepts.  ,Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,Communication
COMM592,COMM,Portfolio,1-6,fall or spring or summer or all,NULL,A broad-based selection of significant student work that is used to appraise student performance and professional development. A portfolio reflects the depth and breadth of a student's educational growth since entering the graduate program. Portfolios may include%COMMA% but not be limited to%COMMA% classroom examinations%COMMA% journals%COMMA% writing samples%COMMA% publishable scholarship%COMMA% professional projects%COMMA% annotated bibliographies%COMMA% and artistic endeavors%COMMA% Pass/fail only.,Pass/Fail/In-Progress - PIP,Lecture,Graduate,College of Arts and Sciences,Communication
COMM160,COMM,Communication and Culture,3,fall or spring or both,NULL,Introduction to the study of communication and culture. Examination of central concepts and theories in the field of communication and cultural studies%COMMA% and focus upon current issues and theoretical perspectives in the study of rhetoric%COMMA% communication relationships%COMMA% and the art and performance of communication.,Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,Communication
COMM293,COMM,Internship,1-12,fall or spring or summer or all,NULL,Internship credits are earned in supervised fieldwork specifically related to a student's major. To enroll in courses numbered 293 or 493%COMMA% a student must have attained a cumulative grade-point average of 2.00 or higher. No more than 12 credits of internship and/or Work U may be applied towards graduation requirements.,Letter Grade - Regular,Internship,Undergraduate,College of Arts and Sciences,Communication
COMM593,COMM,Thesis,1-9,fall or spring or summer or all,NULL,A scholarly paper embodying results of original research which are used to substantiate a specific view. May be repeated for credit.,Pass/Fail/In-Progress - PIP,Thesis Research,Graduate,College of Arts and Sciences,Communication
COMM345,COMM,Who Can Say What? Legal and Cultural Influences on Free Expression,3,spring only,NULL,"Examines the legal frameworks and cultural contexts influencing free expression%COMMA% with a focus on the First Amendment%COMMA% free speech%COMMA% communication law and policy%COMMA% and contemporary issues such as social media%COMMA% technology%COMMA% cancel culture%COMMA% censorship%COMMA% hate speech%COMMA% polarization%COMMA% identity%COMMA% and AI. Evaluates the quality of free expression in American society and explores possibilities for structural reform. ",Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,Communication
