"Code","Subject Code","Number","Cross-listed","Course Title","Lecture Hours","Lab/Studio Hours","Credits","Semester Typically Offered","Foundations Designation","Description","Grading Basis","(requiresPermission)","Prerequisites","Co-requisites","Repeatable","Max Attempts","Total Credits Allowed","Course Type","Course Level","College","Department"
"ECE444","ECE","444",,"Deposition Processes","1","0","1","fall or spring or both",,"Introduction to physical and chemical vapor deposition processes; sputtering; thermal and e-beam evaporation; chemical vapor deposition - low-pressure, plasma-enhanced and metallo-organic; atomic layer deposition; thin film microstructure and process constraints.","Letter Grade - Regular",,"Completed the following:
ECE440 - Introduction to Integrated Circuit Processing (3)
PHYS212 - Physics II with Calculus (4)
",,"false",,,"Lecture","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE691","ECE","691",,"Doctoral Comprehensive Examination","V","V","1–6","fall or spring or summer or all",,"Taken when the doctoral student is in Regular Status and has completed a significant number of course credits applicable to the degree requirements. Considerable autonomy is granted to the academic unit in the design, administration, and evaluation of the comprehensive examination. Pass/fail only.","Pass/Fail - PF","Requires Permission of Instructor Only",,,"false",,"6","Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE464","ECE","464","ME467","Robotics and Automated Systems","3","0","3","fall or spring or both",,"An introduction to robotics with emphasis on automated systems applications. Topics include: basic components of robotic systems; selection of coordinate frames; homogeneous transformations; solutions to kinematic equations; velocity and force/torque manipulator dynamics; digital simulation of manipulator motion; motion planning; actuators of robots; sensors of robots; obstacle avoidance; and control design. Cross-listed with ME467, may be taken for credit once. ","Letter Grade - Regular",,"Completed the following:
ECE360 - System Modeling and Control (3)
",,"false",,,"Lecture","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE554","ECE","554",,"Digital Signal Processing","3","0","3","fall only",,"Modern digital signal processing in engineering systems. Review of continuous-time and discrete-time signals, spectral analysis; design of FIR and IIR digital filters. Fast Fourier Transform, two-dimensional signals, realization structure of digital filters, and filter design.","Letter Grade - Regular",,,,"false",,"3","Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE574","ECE","574",,"Power System Analysis II","3","0","3","spring only",,"Fault analysis, symmetrical components, power system transients, protection and relaying, transient stability, power system operation and control, power system economics, power quality, and power system reliability.","Letter Grade - Regular",,"Completed at least 1 of the following:
ECE473 - Power System Analysis I (3)
ECE573 - Power System Analysis I (3)
",,"false",,,"Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE461","ECE","461","ME461","Control Systems","3","0","3","as justified",,"Time and frequency domain analysis and design of feedback systems using classical and state space methods. Observability, controllability, pole placement, and observers. Cross-listed with ME 461, may be taken once for credit.","Letter Grade - Regular",,"Completed at least 1 of the following:
ECE360 - System Modeling and Control (3)
ME360 - System Modeling and Control (3)
",,"false",,,"Lecture","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE410","ECE","410",,"Digital Integrated Circuit Design","3","0","3","fall only",,"An introduction to CMOS IC design, layout, and simulation. MOSFET operation and parasitics. Digital design fundamentals: digital logic families, latches, flip-flops, sequential logic and datapath subsystems. EDA tools for design, simulation, parasitic extraction and chip tape-out.","Letter Grade - Regular",,"Completed the following:
ECE310 - Microelectronics Circuits (3)
",,"false",,,"Lecture","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE521","ECE","521",,"Advanced Semiconductor Devices","3","0","3","fall or spring or both",,"Study of advanced semiconductor devices, particularly photonic, microwave, power, and high temperature/radiation resistant devices, including physics and applications. TCAD simulation and modeling of these devices will be included.","Letter Grade - Regular",,"Completed at least 1 of the following:
ECE420 - Advanced Device Design and Simulation (3)
ECE520 - Advanced Device Design and Simulation (3)
",,"false",,,"Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE681","ECE","681",,"MMIC Design","3","0","3","fall or spring or both",,"Technology, design and analysis of monolithic microwave integrated circuits; passive and active microwave circuit elements; high frequency substrates, individual design projects utilize modern computer-aided design software.","Letter Grade - Regular",,"Completed the following:
ECE500 - Applied Electromagnetics (3)
",,"false",,,"Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE689","ECE","689",,"Dissertation Proposal","V","V","1–6","fall or spring or summer or all",,"Background, objectives, scope, methods, and timeline of the dissertation research. Considerable autonomy is granted to the academic unit in the design, administration, and evaluation, and approval of the dissertation proposal. Pass/fail only.","Pass/Fail - PF","Requires Permission of Instructor Only",,,"false",,"6","Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE456","ECE","456",,"Pattern Recognition and Machine Learning","3","0","3","as justified",,"Basic concepts of statistical and neural pattern recognition. Structure of pattern classification problems. Mathematics of statistical decision theory; multivariate probability functions, discriminant, parametric and nonparametric techniques. Bayesian and maximum likelihood estimation, feature selection, dimensionality reduction, neural network and deep learning recognition, and clustering. Includes applications to cyber-physical security.","Letter Grade - Regular",,"Complete all of the following
Completed the following:
  CS221 - Computer Science II (3)

Completed at least 1 of the following:
  MATH360 - Engineering Statistics (3)
  MATH361 - Probability and Statistics I (3)
",,"false",,,"Lecture","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE380L","ECE","380L",,"Electrical Engineering Practice Lab","0","3","1","fall and spring only",,"Laboratory work on Electrical Engineering Practice.","Letter Grade - Regular",,"Completed the following:
ENGL102 - Writing and Rhetoric II (FW) (3)
","Completed or concurrently enrolled in:
ECE380 - Electrical Engineering Practice (2)
","false",,,"Laboratory","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE443","ECE","443",,"Semiconductor Etch Processes","1","0","1","fall or spring or both",,"Wafer and sample cleaning and gettering; introduction to wet chemical etching processes for common semiconductors, insulators, and metals; and overview of plasma etch processes and ion milling.","Letter Grade - Regular",,"Completed the following:
ECE440 - Introduction to Integrated Circuit Processing (3)
PHYS212 - Physics II with Calculus (4)
",,"false",,,"Lecture","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE532","ECE","532","CS541","Computer Architecture","3","0","3","fall only",,"Structure of computer systems using processors, memories, and input/output (I/O) devices as building blocks. Computer system instruction set design and implementation, including memory hierarchies, microprogramming, pipelining and multiprocessors. Issues and trade-offs involved in the design of computer system architectures with respect to the design of instruction sets. Cyber-physical security implications of architectural design choices. Cross-listed CS 541, may be taken once for credit.","Letter Grade - Regular",,,,"false",,,"Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE442","ECE","442",,"Photolithography","1","0","1","fall or spring or both",,"Principles of optical lithography; diffraction and ray optics; light sources and resolution; photoresist materials; exposure tools; alignment techniques; lithography process development; and advanced lithography techniques.","Letter Grade - Regular",,"Completed the following:
ECE440 - Introduction to Integrated Circuit Processing (3)
PHYS212 - Physics II with Calculus (4)
",,"false",,,"Lecture","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE380","ECE","380",,"Electrical Engineering Practice","2","0","2","fall and spring only",,"Fundamentals in the practice of Electrical Engineering as a profession. Topics include written and oral communication within Electrical Engineering; engineering project management and economics; design of experiment, systems, processes, and devices; test, reliability, lifetime, and failure analysis; manufacturing; ethics; sustainability; and engineering professionalism.","Letter Grade - Regular",,"Complete all of the following
Completed the following:
  ENGL102 - Writing and Rhetoric II (FW) (3)
  ECE212 - Circuit Analysis and Design (3)

Completed at least 1 of the following:
  ENGR207 - Technical Communication for Electrical Engineers (1)
  WRITE212 - Introduction to Technical Communication (3)

And a Foundations of Communication (FC) course.
","Completed or concurrently enrolled in:
ECE310 - Microelectronics Circuits (3)
ECE380L - Electrical Engineering Practice Lab (1)
","false",,,"Lecture","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE500","ECE","500",,"Applied Electromagnetics","3","0","3","spring only",,"An applied study of electromagnetic theory and its applications to wave propagation in bounded structures, scattering and diffraction, antenna theory, S-parameters, and microwave engineering.","Letter Grade - Regular",,,,"false",,"3","Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE598","ECE","598",,"Seminar","V","V","1–4","fall or spring or summer or all",,"Small group meetings for the exchange ideas, debate of issues, or presentation of research.  Format, conduct, and purpose of seminars vary widely among disciplines. Either graded or pass/fail.","Letter Grade - Regular",,,,"true","99","99","Seminar","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE542","ECE","542",,"Photolithography","3","0","3","spring only",,"Principles of optics, diffraction, interference, superposition of waves, imaging systems, fundamentals of microlithography, resolution, contact and projection lithography, photoresist processing, metrology. Phase shift masks, anti-reflective coatings, deep-ultraviolet lithography, off-axis annular illumination. Use of TCAD lithography simulation software.","Letter Grade - Regular","Requires Permission of Instructor Only",,,"false",,"3","Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE615","ECE","615",,"Mixed-Signal IC Design","3","0","3","fall only (odd years)",,"Data Conversion and spectral estimation fundamentals, delta-sigma modulator (DSM) architectures, decimation filters, discrete-time (switched-capacitor) as well continuous-time (CT) DSM design, cascaded DSMs, bandpass and complex DSMs. Behavioral modeling, simulation and circuit non-idealities in DSMs.","Letter Grade - Regular",,"Completed at least 1 of the following:
ECE411 - CMOS Analog IC Design (3)
ECE511 - CMOS Analog IC Design (3)
",,"false",,,"Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE420","ECE","420",,"Advanced Device Design and Simulation","3","0","3","spring only",,"Energy band formation, semiconductor carrier statistics, and carrier transport including recombination and generation mechanisms. Physical operation and design of metal-semiconductor contacts, pn-junction diodes, MOS capacitors, and MOSFETs with both analytical and numerical approaches. Scaling rules, short-channel effects, and nanoscale transistors are also discussed.","Letter Grade - Regular",,"Complete all of the following
Completed the following:
  ECE310 - Microelectronics Circuits (3)

Completed at least 1 of the following:
  ECE320 - Semiconductor Devices (3)
  ECE340 - Electrical Properties of Materials (3)
",,"false",,,"Lecture","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE538","ECE","538",,"Edge AI Hardware Systems","3","0","3","fall only",,"Introduces a hardware-centric view of AI/machine learning systems from constrained embedded devices to high-level distributed systems. Topics include ML design for low-power devices, optimization techniques for real-time processing, and deployment strategies for AI/ML models on embedded devices, bridging the gap between AI theory and practical hardware implementation.","Letter Grade - Regular",,,,"false",,,"Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE692","ECE","692",,"Capstone Course","V","V","1–6","fall or spring or summer or all",,"A final comprehensive assessment of the knowledge and skills of a master’s student in the major field of study. A culminating activity taken in the last semester of a master’s program. Either graded or pass/fail.","Letter Grade - Regular","Requires Permission of Instructor Only",,,"false",,"4","Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE473","ECE","473",,"Power System Analysis I","3","0","3","fall only",,"Three-phase AC systems, generators, transformers, transmission lines, one-line diagrams, per-unit system, network calculations, load flow studies, power system operation. Introduction to cyber-physical security in power systems, cyber threats and case studies.","Letter Grade - Regular",,"Completed at least 1 of the following:
ECE212 - Circuit Analysis and Design (3)
ENGR240 - Electrical and Electronic Circuits (3)
",,"false",,,"Lecture","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE637","ECE","637",,"System on a Programmable Chip","3","0","3","fall or spring or both",,"Covers the design of embedded system within a single integrated circuit. Such a system consists of multiple intellectual property cores interconnected by common infrastructure. This course will also explore the challenges to design and test a complete system on chip. Exercises/projects will be given to design, synthesize, and simulate using modern computer aided design (CAD) tools. Resulting systems will be targeted in reprogrammable hardware.","Letter Grade - Regular",,"Completed at least 1 of the following:
ECE436 - Digital Systems Rapid Prototyping (3)
ECE536 - Digital Systems Rapid Prototyping (3)
",,"false",,,"Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE561","ECE","561","ME561","Control Systems","3","0","3","spring only",,"Time and frequency domain analysis and design of feedback systems using classical and state space methods. Observability, controllability, pole placement, and observers. Cross-listed with ME 561, may be taken once for credit.","Letter Grade - Regular",,,,"false",,,"Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE438","ECE","438","CSE438","Edge AI Hardware Systems","3","0","3","fall only",,"Introduces a hardware-centric view of AI/machine learning systems from constrained embedded devices to high-level distributed systems. Topics include ML design for low-power devices, optimization techniques for real-time processing, and deployment strategies for AI/ML models on embedded devices, bridging the gap between AI theory and practical hardware implementation. Cross-listed with CSE438, may be taken once for credit. ","Letter Grade - Regular",,"Earned a minimum grade of 1 in each of the following courses:
ECE310 - Microelectronics Circuits (3)
ECE340 - Electrical Properties of Materials (3)
","Completed or concurrently enrolled in at least 1 of the following:
CS334 - Algorithms of Machine Learning (3)
ECE330 - Microprocessors (3)
","false",,,"Lecture","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE311","ECE","311",,"Microelectronics II","3","0","3","as justified",,"Microelectronics II continues the Microelectronics course with coverage of non-ideal op amps and feedback stability, BJT and MOSFET single transistor amplifier design, differential amplifiers and operational amplifier design, amplifier frequency response, transistor feedback amplifiers, and oscillators. This course is ideal for any student that wants to further their understanding and application of microelectronic circuits.","Letter Grade - Regular",,"Completed the following:
ECE310 - Microelectronics Circuits (3)
",,"false",,,"Lecture","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE320","ECE","320",,"Semiconductor Devices","3","0","3","fall only",,"Fundamentals of solid-state electronic devices. Energy band theory, drift, diffusion, generation and recombination of carriers. Physics, modeling, and biasing of diodes, MOSFETs, BJTs. Electronics of metal-semiconductor junctions and the MOS capacitor structure. SPICE model development. Introduction to 2-D device design software.","Letter Grade - Regular",,"Complete 1 of the following
Completed the following:
  ECE310 - Microelectronics Circuits (3)

Completed the following:
  PHYS301 - Analog and Digital Electronics (4)
  PHYS309 - Introductory Quantum Physics with Applications (3)
",,"false",,,"Lecture","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE652","ECE","652",,"Advanced Communications Theory","3","0","3","fall or spring or both",,"Principles of modern communication systems. Elements of information theory, source encoding, efficient signaling with coded waveforms, convolutional codes; carrier recovery and synchronization under AGN channel; adaptive equalization; maximum likelihood estimation, Viterbi algorithm.","Letter Grade - Regular",,"Complete all of the following
Completed the following:
  ECE650 - Stochastic Signals and Systems (3)

Completed at least 1 of the following:
  ECE451 - Communication Systems (3)
  ECE551 - Communication Systems (3)
",,"false",,,"Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE451L","ECE","451L",,"Communication Systems Lab","0","3","1","spring only",,"Lab experience accompanying ECE 451 utilizing AM/FM modulation, spectrum analysis, receiver design and analysis.","Letter Grade - Regular",,"Completed the following:
ECE350 - Signals and Systems (3)
","Completed or concurrently enrolled in:
ECE451 - Communication Systems (3)
","false",,,"Laboratory","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE330L","ECE","330L",,"Microprocessors Lab","0","3","1","fall and spring only",,"Lab work on microprocessors using a Macroassembler and a hardware experimentation kit.","Letter Grade - Regular",,,"Completed or concurrently enrolled in:
ECE330 - Microprocessors (3)
","false",,,"Laboratory","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE440","ECE","440",,"Overview of Semiconductor Processing","1","0","1","fall or spring or both",,"Foundational understanding of semiconductor materials and devices; Introduction to clean room fabrication facilities including layouts, hazards, and required infrastructure; Overview of essential semiconductor processing and fabrication equipment and techniques. ","Letter Grade - Regular",,"Completed at least 1 of the following:
ECE245 - Introduction to Electronic Materials (1)
ECE340 - Electrical Properties of Materials (3)
MSE311 - Electrical Properties of Materials (3)
",,"false",,,"Lecture","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE496","ECE","496",,"Independent Study","V","V","1–4","fall or spring or summer or all",,"Upper-division students may earn credits in independent study, usually through directed reading or by completing a special project. Students may earn no more than 4 credits in a semester and no more than 6 credits during a single academic year, and no more than a total of 9 credits may be used to meet degree requirements or university graduation requirements. Before enrolling for independent study, a student must obtain the approval of the department chair, acting on the recommendation of the instructor who will be supervising the independent study. An independent study cannot be substituted for a course regularly offered at Boise State, nor can independent study credits be used to improve a grade in a course the student has already taken.","Letter Grade - Regular","Requires Permission of Instructor Only",,,"true","99","99","Independent Study","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE337","ECE","337","ENGR337, CS330, MATH337, ME337","Introduction to Security in Cyber-Physical Systems","3","0","3","fall only",,"Overview of systems security: hardware, software, encryption, and physical security. Includes multiple modules: system security, physical issues in security, hardware and firmware security issues, industrial control, and all things connected to the internet. Cross-listed with CS 330, ENGR 337, MATH 337, and ME 337, may be taken once for credit.","Letter Grade - Regular",,"Complete all of the following
Completed the following:
  PHYS211 - Physics I with Calculus (FN) (4)

Completed at least 1 of the following:
  CS117 - C++ for Engineers (3)
  CS121 - Computer Science I (4)
  MATH265 - Introduction to Programming in Mathematics (3)

Completed at least 1 of the following:
  MATH189 - Discrete Mathematics (4)
  MATH360 - Engineering Statistics (3)
  MATH361 - Probability and Statistics I (3)
",,"false",,,"Lecture","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE350L","ECE","350L",,"Signals and Systems Lab","0","3","1","fall and spring only",,"Lab work on signals and systems.","Letter Grade - Regular",,,"Completed or concurrently enrolled in:
ECE350 - Signals and Systems (3)
","false",,,"Laboratory","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE340","ECE","340","MSE311","Electrical Properties of Materials","3","0","3","fall or spring or both",,"Physical principles underlying the electrical properties of metals, insulators and semiconductors. The effects of energy band structure, thermal properties and impurities on electrical conduction. Concepts covered are applied to electrical devices including nanodevices, MOSFETS and optoelectronic devices. Cross-listed with MSE311 and may be taken for credit once. ","Letter Grade - Regular",,"Completed the following:
MSE201 - Fundamentals of Materials Science and Engineering (3)
","Completed or concurrently enrolled in:
MATH333 - Differential Equations with Matrix Theory (4)
","false",,,"Lecture","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE498","ECE","498",,"Seminar","1","0","1","fall and spring and summer",,"A seminar is a small class that examines a particular topic. Seminars are typically discussion oriented and are most commonly offered at the junior, senior, or graduate level.","Letter Grade - Regular",,"Must have a class standing of upper-division or higher
",,"false",,,"Seminar","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE632","ECE","632",,"Advanced Computer Architecture","3","0","3","fall or spring or both",,"Study of up-to-date multiprocessor systems and parallel computing architectures. Covers basic architectural concepts and their performance evaluation, design principles of VLIW and superscalar architectures, multithread and data-flow computers, shared and distributed memory MIMDS, associative and neural architectures. Focuses on significant trends in building systems on a chip.","Letter Grade - Regular",,"Completed at least 1 of the following:
ECE432 - Computer Architecture (3)
ECE532 - Computer Architecture (3)
",,"false",,,"Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE479","ECE","479",,"Undergraduate Research Experience","V","V","0–3","fall or spring or summer or all",,"Provides insight into research or creative work through inquiry, investigation, discovery, and application. There is a possibility of collaborating with graduate students who are performing graduate-level research. All research is supervised by a faculty member. May be repeated for credit. Either graded or pass/fail. It is recommended that the 0 credit option be offered as pass/fail.","Letter Grade - Regular",,,,"true","99","99","Research","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE513","ECE","513",,"RF Design","3","0","3","spring only",,"Design of wireless systems and RF circuits including amplifiers, oscillators, mixers, filters, and matching networks. Comparison of semiconductor device type characteristics and applications. Use of various analysis, simulation, characterization, and measurement tools for low-noise design, stability analysis, distortion analysis and mitigation, frequency synthesis, and transmission line characterization.","Letter Grade - Regular",,,,"false",,"3","Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE590","ECE","590",,"Practicum/Internship","V","V","1–12","fall or spring or summer or all",,"To earn graduate credit you must have a 3.00 cumulative GPA and no more than 12 credits may be applied toward a graduate degree or second undergraduate degree. Some graduate programs, however, accept only 3 internships credits. Practicum/Internship cannot be repeated to improve a grade. Either graded or pass/fail.
Notes: An undergraduate internship is an entry level employment experience related to the discipline. The graduate intern already has an undergraduate degree and is expected to perform with a higher level of responsibility, decision-making authority, and accomplishment.","Letter Grade - Regular","Requires Permission of Instructor Only",,,"true","99","99","Practicum","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE572","ECE","572",,"Power Electronics","3","0","3","fall only",,"Power electronic switches, diode and controlled rectifiers, AC-AC phase control, DC-DC converters, inverters, introduction to electric drives and power quality fundamentals.","Letter Grade - Regular",,,,"false",,"3","Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE660","ECE","660",,"Linear Systems","3","0","3","fall only",,"Methods of analysis for linear time-invariant systems. Topics include linear algebra, concept of state, modes, controllability, observability, canonical forms, state transition matrices, transfer functions, minimal realizations, and state feedback for trajectory tracking and disturbance rejection.","Letter Grade - Regular",,,,"false",,"3","Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE646","ECE","646",,"Frontiers of IC Processing","3","0","3","fall or spring or both",,"Recent and proposed developments in semiconductor process technology Course modules: Lithography, Deposition, Doping and Etch processes","Letter Grade - Regular",,"Completed at least 1 of the following:
ECE440 - Introduction to Integrated Circuit Processing (3)
ECE540 - Intro to Integrated Circuit Processing (3)
",,"false",,,"Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE601","ECE","601",,"Advanced Electromagnetic Theory","3","0","3","spring only (even years)",,"Advanced topics in static and dynamic electromagnetic field theory for engineering applications including bounded structures and radiators; solution of scalar and vector boundary value problems; Kirchhoff radiation theory; geometrical diffraction theory, and numerical methods.","Letter Grade - Regular",,"Completed the following:
ECE500 - Applied Electromagnetics (3)
",,"false",,,"Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE480","ECE","480",,"Senior Design Project I","2","3","3","fall and spring only",,"Part one of the capstone design experience integrating previous design work with design theory and methodology. Applied through individual projects with fixed specifications requiring effective use of engineering skills including: time management, design trade-off analysis, SPICE simulation, PCB layout, and test/debug of the constructed design. Written reports are completed at each phase of the design process.","Letter Grade - Regular",,"Completed the following:
ECE310 - Microelectronics Circuits (3)
ECE330 - Microprocessors (3)
ECE350 - Signals and Systems (3)
ECE380 - Electrical Engineering Practice (2)
",,"false",,,"Lecture","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE624","ECE","624",,"Amorphous Semiconductor Devices","3","0","3","as justified",,"Introduction to amorphous semiconductors, structure, defects, gap states, electronic transport, optical properties, photoconductivity, and applications.","Letter Grade - Regular",,,,"false",,"3","Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE210L","ECE","210L",,"Introduction to Electric Circuits Lab","0","3","1","fall and spring and summer",,"Lab work to accompany ECE 210 Introduction to Electric Circuits. Hands on activities using breadboards, multimeters, resistors, capacitors, inductors, op amps.","Letter Grade - Regular",,,"Completed or concurrently enrolled in:
ECE210 - Introduction to Electric Circuits (3)
","false",,,"Lecture","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE662","ECE","662","ME662","Deep Learning","3","0","3","fall only",,"Theory and implementation of fully connected and convolutional deep neural networks. Training of neural networks via back propagation. Application to open source data sets such as MNIST, EMNIST, and CIFAR. Deep neural networks using ResNets. Control of dynamical systems using deep neural networks. Segmentation using U-nets. Attention mechanisms and transformers with applications to reinforcement learning and computer vision. Graph neural networks. Cross-listed with ME662, may be taken once for credit","Letter Grade - Regular",,,,"false",,,"Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE687","ECE","687",,"Doctoral Preliminary Examination","V","V","1–6","fall or spring or summer or all",,"An early assessment of a student’s potential to complete a doctoral program satisfactorily. Considerable autonomy is granted to the academic unit in the design, administration, and evaluation of the preliminary examination. Pass/fail only.","Pass/Fail - PF","Requires Permission of Instructor Only",,,"false",,"6","Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE672","ECE","672",,"Control of Electric Machines","3","0","3","as justified",,"Analysis of symmetrical three-phase induction machines using reference-frame theory and space phasors. Scalar control, vector (field-oriented) control, and direct-torque control of induction motor drives. Squirrel-cage, wound-rotor, doubly-fed, and series-connected induction machines for wind generation. Control of single-phase induction machines and special machines.","Letter Grade - Regular",,"Completed the following:
ECE570 - Electric Machines (3)
",,"false",,,"Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE540","ECE","540",,"Intro to Integrated Circuit Processing","3","0","3","fall only",,"Fundamentals of integrated circuit fabrication technology; semiconductor substrates; theory of unit processes such as diffusion, oxidation, ion implantation, rapid thermal processing, photolithography, wet etching and cleaning, dry etching, thin-film deposition; chemical mechanical polishing; process integration; metrology; statistical process control; TCAD.","Letter Grade - Regular",,,"Completed or concurrently enrolled in:
ECE540L - Intro to Integrated Circuit Processing Lab (1)
","false",,,"Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE430","ECE","430",,"Digital Hardware Design","3","0","3","fall only",,"Advanced topics in digital system design emphasizing the specification and design of complex digital hardware systems using Hardware Description Languages (HDL) and High Level Synthesis (HLS). Applications include design of synchronous state machines, asynchronous digital systems, crossing multiple clock domains, and cryptography protocols for cyber-physical systems security. Design, simulation and implementation on FPGA development boards.","Letter Grade - Regular",,"Completed the following:
ECE230 - Digital Systems (3)
CS121 - Computer Science I (4)
",,"false",,,"Lecture","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE556","ECE","556",,"Pattern Recognition and Machine Learning","3","0","3","as justified",,"Basic concepts of statistical and neural pattern recognition. Structure of pattern classification problems. Mathematics of statistical decision theory; multivariate probability functions, discriminant, parametric and nonparametric techniques. Bayesian and maximum likelihood estimation, feature selection, dimensionality reduction, neural network and deep learning recognition, and clustering. Includes applications to cyber-physical security.","Letter Grade - Regular",,,,"false",,"3","Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE210","ECE","210",,"Introduction to Electric Circuits","3","0","3","fall and spring only",,"Fundamental laws, basic network analysis, and circuit theorems. Capacitors, inductors, and operational-amplifier circuits. First- and second-order circuits. Sinusoidal steady-state analysis of AC circuits. Introduction to computer-aided circuit simulation.","Letter Grade - Regular",,"Completed the following:
PHYS211 - Physics I with Calculus (FN) (4)
","Completed or concurrently enrolled in:
MATH333 - Differential Equations with Matrix Theory (4)
PHYS212 - Physics II with Calculus (4)
","false",,,"Lecture","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE300","ECE","300",,"Electromagnetic and Wave Theory","3","0","3","fall only",,"Electrostatic fields, potentials, Gauss' law, solutions of Laplace's equation, electrostatics of conductors and dielectric materials, vector potentials, Maxwell's equations, and transmission line theory.","Letter Grade - Regular",,"Completed the following:
ECE212 - Circuit Analysis and Design (3)
MATH275 - Multivariable and Vector Calculus (4)
MATH333 - Differential Equations with Matrix Theory (4)
PHYS212 - Physics II with Calculus (4)
",,"false",,,"Lecture","Undergraduate","College of Engineering","Electrical and Computer Engineering"
"ECE552","ECE","552",,"Wireless Communications","3","0","3","fall only",,"Modern cellular communication systems, including propagation, handoff, noise, and interference studies. CDMA and other spread-spectrum systems.","Letter Grade - Regular",,"Completed at least 1 of the following:
ECE451 - Communication Systems (3)
ECE551 - Communication Systems (3)
",,"false",,,"Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECE666","ECE","666",,"Multivariable Control Systems","3","0","3","spring only",,"Linearization of state variable models. Time response of linear time invariant systems. Controllability, observability, and stability of linear systems. Pole placement by state and output feedback. Observers. Linear quadratic regulator control.","Letter Grade - Regular",,"Completed the following:
ECE660 - Linear Systems (3)
",,"false",,,"Lecture","Graduate","College of Engineering","Electrical and Computer Engineering"
"ECON410","ECON","410","POLS410","Public Finance","3","0","3","fall or spring (intermittently)",,"This course examines the roles of government and market systems in modern economies using the tools of economic analysis to evaluate major public policy decisions. The theory and rationale of government spending, taxing, and indebtedness will be examined, as well as the effects of government activity on resource allocation, income distribution, and economic efficiency. This course draws on the tools of microeconomic theory to develop analytical tools such as cost-benefit analysis to examine public spending projects. Cross-listed with POLS410, may be taken once for credit.","Letter Grade - Regular",,"Completed the following:
ECON201 - Principles of Macroeconomics (FS) (3)
ECON202 - Principles of Microeconomics (FS) (3)
",,"false",,,"Lecture","Undergraduate","College of Business and Economics","Economics"
